user	board	session	speed	uer	cer	SUBJECT
cxl	1	1	30.96832471	0.011764706	0.110169492	1
czf	1	1	47.98786742	0	0.054054054	2
dyh	1	1	32.39719991	0	0.058823529	3
hyh	1	1	35.74396956	0.023529412	0.0625	4
crj	1	1	40.34027	0	0.009433962	5
yzk	1	1	41.57896043	0.011904762	0.021978022	6
gtf	1	1	35.44608772	0	0.053191489	7
fkz	1	1	34.56411717	0.011904762	0.072164948	8
gyz	1	1	38.31478923	0	0.13592233	9
wsj	1	1	34.82422686	0.035714286	0.065934066	10
zyh	1	1	50.76666573	0	0.152380952	11
gjl	1	1	43.37831075	0.076923077	0.040983607	12
cxz	1	1	32.48974988	0	0.098360656	13
lzj	1	1	36.55830466	0	0.246666667	14
lqt	1	1	35.86248105	0.032967033	0.086614173	15
cxl	1	2	46.4391892	0.010752688	0.100840336	1
czf	1	2	52.02384162	0	0.108333333	2
dyh	1	2	52.7403086	0.010752688	0.036036036	3
hyh	1	2	46.87169348	0	0.044247788	4
crj	1	2	54.02240692	0	0.052631579	5
yzk	1	2	37.53454696	0.020833333	0.025862069	6
gtf	1	2	38.99398202	0.020833333	0.058333333	7
fkz	1	2	34.36591201	0.020833333	0.102362205	8
gyz	1	2	41.21854968	0.010416667	0.058823529	9
wsj	1	2	37.23163429	0.010416667	0	10
zyh	1	2	58.38467648	0	0.042372881	11
gjl	1	2	53.72317671	0.011363636	0.059322034	12
cxz	1	2	31.85623469	0.011363636	0.026785714	13
lzj	1	2	51.76029797	0.011363636	0.1484375	14
lqt	1	2	63.08366934	0	0.026315789	15
cxl	1	3	36.57114357	0.010204082	0.273291925	1
czf	1	3	52.77429206	0	0.016949153	2
dyh	1	3	52.2245572	0	0.016949153	3
hyh	1	3	49.45420536	0.010204082	0.025	4
crj	1	3	49.36502951	0	0.016949153	5
yzk	1	3	31.36804702	0	0	6
gtf	1	3	28.9285583	0.056179775	0.096774194	7
fkz	1	3	29.34296551	0	0.138461538	8
gyz	1	3	45.72943986	0.033707865	0.058823529	9
wsj	1	3	42.31450113	0.04494382	0.064220183	10
zyh	1	3	54.83784323	0.011111111	0.082644628	11
gjl	1	3	44.91884058	0.022222222	0.016528926	12
cxz	1	3	41.50969947	0	0.009090909	13
lzj	1	3	50.00263509	0.011111111	0.162790698	14
lqt	1	3	56.38672761	0	0.064516129	15
cxl	1	4	42.57613448	0	0.183823529	1
czf	1	4	61.96469747	0	0.017699115	2
dyh	1	4	51.29824659	0	0.043103448	3
hyh	1	4	54.72009662	0.010309278	0.017699115	4
crj	1	4	54.27505803	0.010309278	0.017699115	5
yzk	1	4	33.01754498	0.02247191	0.03539823	6
gtf	1	4	35.05277612	0.04494382	0.043859649	7
fkz	1	4	32.55477499	0.011235955	0.043478261	8
gyz	1	4	50.90656869	0	0.043859649	9
wsj	1	4	42.40044801	0.033707865	0.037383178	10
zyh	1	4	44.00939459	0.026315789	0.212765957	11
gjl	1	4	47.50385907	0.026315789	0.044247788	12
cxz	1	4	29.49560575	0	0	13
lzj	1	4	48.3499908	0	0.085714286	14
lqt	1	4	54.40136041	0	0.036036036	15
cxl	1	5	40.34530824	0.030612245	0.147058824	1
czf	1	5	68.00820499	0	0.049180328	2
dyh	1	5	33.20470914	0.010204082	0.048780488	3
hyh	1	5	37.4328007	0	0.114503817	4
crj	1	5	44.72611162	0.010204082	0.042016807	5
yzk	1	5	39.60339856	0	0.035087719	6
gtf	1	5	41.66375625	0.010869565	0	7
fkz	1	5	41.40213837	0	0.06779661	8
gyz	1	5	45.44444784	0.02173913	0.026548673	9
wsj	1	5	40.4261765	0.043478261	0.009174312	10
zyh	1	5	53.80931883	0.025316456	0.10483871	11
